,c1
3787,with mr brownings imaginative direction mr lugosis up weird gestures
3788,haunted  ar bela
3789,the music contributes tod brownings marvellous t restrained horror stylish afterlife
3790,not means masterpiece fond memory reputation
3791,the atmospheric opening part moody full sinister potential
3792,time horror classic starring lugosi still creepy blazes
3793,sublimated ghost story related surface seriousness remarkably effective background creepy atmosphere
3794,perfect example worst traits hollywood early sound era
3795,its fantasy horror
3796,the casting right target atmosphere fittingly eerie director john hams suspenseful
3797,several horror scenes
3798, worst straightforward versions venerable bram stoker tale
3799,servedly critical boxoffice fiasco
3800,dan aykroyd steals show hilarious impersonation tribute sternfaced tv cop joe friday
3801,suffers palpably plodding feel thats compound continuing emphasis central characters tedious investigation
3802,this review read resists temptation open quoting naggingly insistent dragnet motif dumdumdum theres no dumb agreeably lightweight spoof
3803,this starting place 
3804,yet another keatonrelated disaster get guy new agent
3805,palmas inventive style quality acting forgettable horror flick
3806,dressed kill flatout masterpiece
3807,originality high value genrebound aesthetic making
3808,dressed kill remains prime example palma able marry awesome technical prowess material
3809,dressed kill finds ultimate shame gravitational fatalism performed sexual sire
3810,dressed kill nailbiting
3811,dressed kill
3812,the murr mystery forefront tiresomely plain tached
3813,a hysterical nightmare repressed sexuality genr intity
3814,duel come represent wrong current cinema
3815,duel achieves frantic energy striking simplicity silent ironically
3816,spielbergs  finds director ruthlessly exploiting vastatingly simple premise extraordinary effect
3817,thrillingly paranoid tale businessman nnis weaver apocalyptic duel driver monster truck
3818, benefit hindsight
3819,simply rivetingly murrous game cat mouse keeps edge seat
3820, road rage n new heights exploitation boy wonr
3821,simple premise killer truck stalks driver becomes basis exceptionally fraught  suspense 
3822,beyond problems central roles
3823,a fairly muddled mess
3824,this real mess
3825,lynchs third feature commercial disaster
3826,lynchs glaring failure
3827, insane textbook lynch
3828,the problem imagery rooted story impulse
3829,critics time labeled confusing see
3830,its  come also built last
3831,insi dune freak show struggling get and failing
3832,the pretty dismal hours waiting lefty
3833,not kazans richest ans significant role
3834,john steinbecks painful biblical allegory genesis replayed monterey
3835,kazan sense leave parts lengthy book
3836,catches fire clashes an as brother raymond massey stiffnecked dad
3837,its far dull 
3838,bookbased classic violence
3839, ends flagrant miscalculation typifies kazan worst
3840, tempted wonr aloud drugs booze actually direct relatively woeful flick
3841,a bizarre largely flawed beast
3842,plot pretty expect horror involves disturbed hotel worker keeps alligator pet
3843,containing laughably high levels violence
3844,perversely entertaining
3845,pasolinis working sophocles tragedy
3846,rather piecemeal sometimes dull affair
3847,tale pure soul struggling heard prejudice many quite heartrending
3848,perhaps lynchs finest moment disturbingly odd surprisingly humane
3849,the picture strange traoff lynchs personal themes night world obscure
3850,heartbreaking drama sensitive viewers
3851,lynch shows weakness present others sentimentality
3852,equal parts scary sad frankensteins monster garner fright sympathy
3853, part dirty harry harrys signature sarcasm
3854,a grim
3855,dirty harry confronts womens lib easod monstrates feminist affinities again
3856,dirty harry female partnerbriefly blasting action
3857,dirty harry sequel addresses sexism lots violence
3858,the enforcer violent thats shapes
3859,by time gets around tracking nailing terrorist group heart plot
3860,brazenly colourful futuristic landscape grimy portrait city far downanddirty real new york late s early s
3861,russell channels easod low
3862,oppressive power carpenters scope framing matched ability speak contemporary affairs
3863,vicious scenes often juxtaposed comic sequences tap dance contrasting t bizarre grandly entertaining
3864,its toughly told
3865,rare many ias yet fails consistently use them
3866,this almost forgotten reveals nearvisionary workmanship
3867,viewing today akin sense youthful nostalgia violated the terrible dialogue
3868,new york ghost town van cleef corrupt sheriff escape new yorks thinly disguised postmorn western
3869, kind apocalyptic epic yet rivaled action storytelling quality
3870,escape new york fires cylinr killer concept
3871,in time new york  dangerous
3872,propaganda masquerading drama
3873,stirring chronicle israels struggle inpennce 
3874,appallingly boring thats subjective word
3875,story gets strained resolved
3876,performances hurt plummer standout
3877,except ingratiating performances hurt weaver
3878,weird
3879,fahrenheit  scenes truly horrifying
3880,dated silly
3881,with serious terrifying theme
3882,on downsi
3883,truffauts clearly suffered troubled shoot truffaut actually know english oddball material succeeds fits bursts
3884,looking tight thriller bored looking effective horror annoyed
3885,chilling unrealistic stalker 
3886,predictable story schlesinger struggles keep fresh moving
3887,christie carries insouciant vulnerability classic
3888,walked years pressing experience
3889, impressive production rate performances
3890,watching approximately effect locked overnight secondhand clo store pasana awful lot dust
3891,dick richards attractive
3892,unfortunately
3893,close pri performance also expect pressing avalanche scripts requiring shewacko
3894, absolutely riveting performances smart reversal usual malefemale stalker scenario leave behind nasty taste unforgettable cinema experience
